frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
83,3.32,0.98,1,0.28600000000000003,0.235,0.11800000000000001,-0.256,0.054000000000000006,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.02,0.074,0.004,0.10200000000000001,0.016,0.04,0.048,0.158,0.004
84,3.36,0.98,1,0.28600000000000003,0.242,0.133,-0.26,0.057,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.01,0.06,0.0,0.11200000000000002,0.03,0.086,0.024,0.16399999999999998,0.002
85,3.4,0.98,1,0.284,0.254,0.142,-0.253,0.061,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.008,0.08399999999999999,0.0,0.122,0.052000000000000005,0.11000000000000001,0.0,0.16599999999999998,0.006
86,3.44,0.98,1,0.289,0.255,0.15,-0.255,0.068,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,0.0,0.0,0.012,0.066,0.0,0.10200000000000001,0.046,0.1,0.0,0.158,0.006
87,3.48,0.98,1,0.295,0.24600000000000002,0.153,-0.265,0.075,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.024,0.052000000000000005,0.0,0.06999999999999999,0.038,0.068,0.0,0.158,0.004
88,3.52,0.98,1,0.3,0.25,0.163,-0.272,0.081,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.046,0.05,0.0,0.034,0.016,0.038,0.041999999999999996,0.124,0.0
89,3.56,0.98,1,0.304,0.273,0.21899999999999997,-0.271,0.09699999999999999,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.074,0.08399999999999999,0.0,0.012,0.016,0.014000000000000002,0.08399999999999999,0.074,0.0
90,3.6,0.98,1,0.302,0.278,0.22399999999999998,-0.272,0.096,0.004,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.10600000000000001,0.13799999999999998,0.006,0.002,0.024,0.0,0.11599999999999999,0.028000000000000004,0.0
91,3.64,0.98,1,0.302,0.281,0.223,-0.27,0.094,0.004,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.132,0.16599999999999998,0.01,0.0,0.046,0.006,0.094,0.008,0.0
92,3.68,0.98,1,0.303,0.27899999999999997,0.222,-0.27,0.094,0.004,0.0,0.0,0.0,0.0,0.10200000000000001,0.0,0.0,0.148,0.196,0.014000000000000002,0.0,0.05600000000000001,0.02,0.06,0.002,0.0
93,3.72,0.98,1,0.307,0.276,0.221,-0.26899999999999996,0.09300000000000001,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.156,0.21400000000000002,0.016,0.0,0.052000000000000005,0.034,0.026000000000000002,0.0,0.0
94,3.76,0.98,1,0.31,0.281,0.223,-0.27,0.09300000000000001,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.16399999999999998,0.22599999999999998,0.014000000000000002,0.0,0.04,0.046,0.008,0.0,0.0
95,3.8,0.98,1,0.312,0.281,0.223,-0.27,0.092,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.16399999999999998,0.21800000000000003,0.018,0.0,0.04,0.036,0.024,0.004,0.0
96,3.84,0.98,1,0.313,0.28,0.222,-0.26899999999999996,0.092,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.172,0.19,0.01,0.0,0.028000000000000004,0.022,0.074,0.004,0.0
97,3.88,0.98,1,0.31,0.271,0.212,-0.276,0.085,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.16799999999999998,0.146,0.03,0.0,0.018,0.006,0.128,0.01,0.0
98,3.92,0.98,1,0.302,0.255,0.191,-0.278,0.071,0.002,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.152,0.10400000000000001,0.024,0.0,0.0,0.0,0.192,0.014000000000000002,0.0
99,3.96,0.98,1,0.29600000000000004,0.23199999999999998,0.154,-0.281,0.049,0.012,0.0,0.0,0.0,0.018,0.118,0.002,0.0,0.122,0.06,0.022,0.0,0.0,0.0,0.252,0.028000000000000004,0.128
100,4.0,0.98,1,0.318,0.301,0.11199999999999999,-0.28300000000000003,0.017,0.028000000000000004,0.0,0.0,0.0,0.03,0.16599999999999998,0.002,0.0,0.076,0.032,0.002,0.006,0.0,0.0,0.248,0.048,0.246
101,4.04,0.98,1,0.318,0.289,0.087,-0.289,-0.011000000000000001,0.034,0.0,0.0,0.0,0.03,0.172,0.002,0.0,0.038,0.004,0.0,0.012,0.0,0.0,0.16,0.088,0.32999999999999996
102,4.08,0.98,1,0.319,0.22899999999999998,0.028999999999999998,-0.284,-0.046,0.044,0.0,0.0,0.0,0.01,0.16999999999999998,0.0,0.0,0.008,0.0,0.0,0.09,0.0,0.036,0.052000000000000005,0.186,0.242
103,4.12,0.98,1,0.308,0.20600000000000002,-0.003,-0.28300000000000003,-0.07200000000000001,0.044,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.16599999999999998,0.0,0.09,0.0,0.268,0.154
104,4.16,0.98,1,0.305,0.195,-0.008,-0.287,-0.086,0.052000000000000005,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.018,0.0,0.242,0.0,0.136,0.0,0.34199999999999997,0.1
105,4.2,0.98,1,0.299,0.18899999999999997,-0.011000000000000001,-0.27,-0.087,0.044,0.0,0.0,0.0,0.0,0.08399999999999999,0.0,0.0,0.008,0.068,0.0,0.23399999999999999,0.0,0.132,0.0,0.284,0.078
106,4.24,0.98,1,0.3,0.19,-0.01,-0.275,-0.08900000000000001,0.046,0.0,0.0,0.0,0.004,0.06,0.008,0.0,0.036,0.10600000000000001,0.0,0.194,0.0,0.078,0.03,0.19,0.068
107,4.28,0.98,1,0.298,0.203,0.031,-0.28,-0.077,0.046,0.0,0.0,0.0,0.012,0.064,0.028000000000000004,0.0,0.066,0.148,0.0,0.162,0.0,0.034,0.05600000000000001,0.06999999999999999,0.064
